,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
209,00033971,GOMA EMPAQ 3/8 9.52MM S/TELA                      ,21/09/2015,16/09/2015,,N,,
210,00033972,GOMA ESPONJA 05X10                                                                                  ,,,,N,N,
211,00033973,GOMA ESPONJA 05X30                                                                                  ,,,,,,
212,00033974,GOMA ESPONJA 05X40                                                                                  ,,03/07/2020,,N,N,
213,00033975,GOMA ESPONJA 05X50                                                                                  ,,,,,,
214,00033976,GOMA ESPONJA 06X25                                                                                  ,,,,N,N,
215,00033977,GOMA ESPONJA 06X30                                                                                  ,,29/11/2014,,N,,
216,00033978,GOMA ESPONJA 06X38                                                                                  ,,,,,,
217,00033979,GOMA ESPONJA 06X40                                                                                  ,,,,N,N,
218,00033980,GOMA ESPONJA 10X10                                                                                  ,,,,,,
219,00033981,GOMA ESPONJA 10X15                                                                                  ,,,,,,
220,00033982,GOMA ESPONJA 10X20                                ,,19/08/2014,,N,,
221,00033983,GOMA ESPONJA 10X25                                                                                  ,06/08/2014,07/08/2014,,N,,
222,00033984,GOMA ESPONJA 10X30                                                                                  ,05/01/2016,05/01/2016,,N,,
223,00033985,GOMA ESPONJA 10X38                                                                                  ,,,,,,
224,00033986,GOMA ESPONJA 10X40                                ,29/11/2018,25/06/2021,,N,,
225,00033987,GOMA ESPONJA 10X50                                ,21/03/2019,04/06/2021,S,N,,
226,00033988,GOMA ESPONJA 10X60                                ,,15/02/2012,,N,,
227,00033989,GOMA ESPONJA 10X70                                                                                  ,,,,,,
228,00033990,GOMA ESPONJA 12X20                                                                                  ,,,,,,
229,00033991,GOMA ESPONJA 12X25                                                                                  ,,,,,,
230,00033992,GOMA ESPONJA 12X38                                                                                  ,,,,,,
231,00033993,GOMA ESPONJA 12X50                                                                                  ,,,,,,
232,00033994,GOMA ESPONJA 14X20                                                                                  ,,,,,,
233,00033995,GOMA ESPONJA 15X150                                                                                 ,,,,,,
234,00033996,GOMA ESPONJA 18X35                                                                                  ,,,,,,
235,00033997,GOMA ESPONJA 20X20                                                                                  ,,,,,,
236,00033998,GOMA ESPONJA 20X25                                                                                  ,,11/03/2013,,N,,
237,00033999,GOMA ESPONJA 20X38                                                                                  ,15/05/2012,,,N,,
