Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
00051089,FILTRO TRANSMISION 1655472                        ,03/09/2013,12/12/2013,,N,,
00051091,FILTRO SEPARADOR DE AGUA 1691821                  ,07/01/2014,07/01/2014,,N,,
00051092,FILTRO RESP. SIST HIDR. 1582161                   ,03/09/2013,12/12/2013,,N,,
00051100,DILYENTE EPOXICO STD                              ,22/10/2013,,,N,,
00051118,ALAMBRE PUA 275MTS                                ,10/04/2015,10/04/2015,,N,,
00051119,MALLA BISCOCHO 06X1.80X25MTS                      ,,,,,,
00051120,REGATONES 25 X 25                                 ,09/11/2012,13/11/2012,,N,,
00051121,PISO NOMAD COLORES                                ,,,,,,
00051122,PERNO PARKER C/AVELLANADO 3/4 X 2.1/2             ,06/08/2020,13/08/2020,,N,,
00051123,PERNO PARKER C/AVELLENADO 5/8 X 2.1/2             ,,28/03/2016,,N,,
00051197,CINTA 24LED BLANCA 24CMS YH-048                   ,20/05/2017,05/03/2018,,N,N,
00051203,PINTURA POLIURETANO GRIS PERLA +CAT               ,,23/11/2012,,N,,
00051209,EQUIPO DE TORCHAR 600AMPS AEC-3 PROFAX            ,23/05/2014,28/05/2014,,N,,
00051249,MICA FRONTAL MASCARA FOTOSEN INDURA               ,23/12/2022,28/12/2022,S,N,,
00051250,MICA POSTERIOR MASC FOTOSEN INDURA                ,23/12/2022,28/12/2022,S,N,,
00051264,GOLILLA PLANA  ZIN M12                            ,,16/11/2012,,N,,
00051273,BARRA INTERIOR MIT. L200                          ,,,,,,
00051274,MALLA  ACMA 3.8MM X 1.85 X 3MT                    ,16/02/2016,16/02/2016,,N,,
00051290,CARBURADOR SUZUKI CARRY 1000                      ,07/08/2021,21/04/2022,,N,,
00051302,SACO POLIPROPILENO                                ,18/01/2023,20/01/2023,S,N,N,
00051316,VALVULA BOLA INOX  1/2                            ,26/08/2022,03/09/2022,S,N,,
00051317,BOMBA BENCINA UNIV C/CABLE                        ,21/02/2017,19/02/2019,,N,,
00051331,RESINA EPOXICA KG                                 ,22/10/2013,,,N,N,
00051332,FIBRA DE VIDRIO KG                                ,14/09/2021,14/09/2021,S,N,,
00051333,PEROXIDO KG                                       ,30/09/2022,30/09/2022,S,N,,
00051334,ACELERANTE KG                                     ,,,,,,
00051336,FILTRO AF00947                                    ,,,,,,
00051337,FILTRO AF25544                                    ,,,,,,
00051338,FILTRO AF25545                                    ,,,,,,
00051383,CLOROX 4 LTS                                      ,29/01/2016,16/03/2018,,N,N,
00051384,JABON 1/2 LTS DESINFECTANTE                       ,,,,,,
00051386,QUIK LAVALOZA 1500CC                              ,,,,,,
00051392,ESCUDRA TALON 400 X 250 MM MITUTOYO               ,,,,,,
00051399,REDUCC. GALV. 2 X 1 HI-HI                         ,,,,,,
00051400,REDUCC. GALV. 2 X 1  HE-HI                        ,25/08/2021,25/08/2021,S,N,,
00051403,LOCKERS 5 CUERPO MOD P5-01                        ,14/08/2014,21/08/2014,,N,,
00051420,CAJA DE CORCHETES (1000 UNID)                     ,08/02/2023,11/12/2019,S,N,,
00051421,PERFIL CUADRADO  40 X 40 X 3MMX6MTS               ,08/03/2014,10/03/2014,,N,,
00051424,POLIETILENO TRANS. VIRGEN 2.0X0.10  MT            ,12/07/2022,12/07/2022,S,N,,
00051441,HOJAS MADRE 800MM                                 ,,14/11/2012,,N,,
00051442,HOJAS MADRE 730MM                                 ,,14/11/2012,,N,,
00051445,JGO CARBON  EBT-212                               ,,14/11/2012,,N,,
00051460,RESPIRADOR 2 VIAS PAKRSON                         ,06/02/2018,06/04/2020,,N,N,
00051461,FILTRO R621 AGRICOLA                              ,06/02/2018,02/03/2022,,N,N,
00051462,BARRA SILICONA 12M K                              ,10/11/2022,10/11/2022,S,N,,
00051467,CONTACTORES MITSUB SN35                           ,,,,,,
00051482,"CONECTOR RECTO DE 3/4""                            ",,,,,,
00051538,ADAPTADOR 16 MJ-16MP                              ,,,,,,
00051540,FERULA R2 - 1/4                                   ,26/10/2017,25/10/2017,,N,,
00051545,"VALVULA BOLA BRO/CROM  BSP 1""                     ",02/09/2021,31/08/2021,S,N,,
00051546,"VALVULA BOLA INOX 316 NPT 1""                      ",14/03/2018,14/03/2018,,N,,
00051547,MANGUERA R2 - 3/8                                 ,,,,,,
00051548,MANGUERA R2 - 1/2                                 ,,,,,,
00051555,CABLE ARAFLEX  5 X 6                              ,,,,,,
00051556,HEMBRA VOL IP-67 3P+N+T 63AM 380V                 ,,,,,,
00051557,CLAVIJA MACHO IP-67 3P+N+T 63A  380V              ,,,,,,
00051558,HEMBRA VOL 3P+N+T 16A 380V                        ,,,,,,
00051559,CLAVIJA MACHO 3P+N+T 16A 380V                     ,,,S,,,
00051560,HEMBRA VOL 3P+N+T 32A 380V                        ,,,,,,
00051561,CLAVIJA MACHO  3P+N+T 32A 380V                    ,29/10/2016,29/10/2016,,N,,
00051562,ORDENAMIENTO Y SELECCION DE PERNOS Y OTROS        ,,16/11/2012,,N,,
00051639,"TUBO 3""  X 3 MTS                                  ",,21/11/2012,,N,,
00051640,ESLASTOSELLO 300 GL TAPAGOTERA                    ,20/05/2016,19/05/2016,,N,,
00051641,MALLA RASCHEL NEGRA 4.20 MTS                      ,21/01/2014,22/01/2014,,N,,
00051651,VALVULA BOLA PVC 1'' PRESS                        ,,04/03/2014,,,N,
00051652,UNION BOLA  PVC 1/2 PRESS                         ,,,,,,
00051698,PRISIONERO S/MUESTRA  AC-1045                     ,05/12/2012,04/12/2012,,N,,
00051699,PRISIONERO S/MUESTRA AC-4140                      ,,,,,,
00051700,TUERCA P/PRISIONERO                               ,,04/12/2012,,N,,
00051716,ABRAZADERA COLOSO 1/2                             ,,20/11/2012,,N,,
00051717,BOMBA FRENO Y EMBRAGUE JEEP LAND ROVER            ,20/06/2018,20/11/2012,,N,,
00051724,CABLE MULTIFLEX 10 AWG X 3                        ,02/04/2013,02/04/2013,,N,,
00051726,CONDUIT PVC 40 MM X 6MTS                          ,03/05/2019,02/05/2019,,N,,
00051727,"PVC HIDRAÚLICO DE 1""                              ",02/04/2013,30/07/2014,,N,,
00051732,BARNIZ AISLANTE SPRAY 3M                          ,28/11/2012,29/11/2012,,N,,
00051784,MANO DE OBRA REPARACIÓN COMPONENTES               ,15/05/2013,29/11/2012,,N,N,
00051806,FLOTADOR DE GASOLINA                              ,26/11/2012,18/05/2018,,,N,
00051850,CABLE ARAFLEX 3X2 5                               ,,26/11/2012,,N,,
00051851,TUBO CONDUIT PVC 16X3MTS                          ,28/12/2021,28/12/2021,S,N,,
00051857,EMPAQUETADURA ALT. 30 SI                          ,,29/11/2012,,N,,
